data_type,id,title,subtitle,storyImage,storyDesc,boardImage,team,type,moveType,imgUrl,hit,dodge,position_row,position_col,condition_type,description,event_type,condition_turn,condition_team,condition_pieceId,condition_row,condition_col,action_type,action_pieceId,action_findBestPosition,action_special,action_title,action_description,action_buttonText,action_character,action_text,action_from_row,action_from_col,action_to_row,action_to_col,action_position_row,action_position_col,once
level_info,1,第一話,宇宙聯合軍,https://i.imgur.com/AxsQhC8.png,宇宙聯合軍將軍沙撒比在宣戰的第二天便帶領部隊進行大氣層突入，英雄們迅速出擊，與宇宙聯合軍展開交戰。他們試圖避免不必要的傷亡，同時尋找停戰方法。突然，一個從未見過的機影出了在他們面前…,https://i.imgur.com/po1uZL5.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,core_fighter_1,,,,,,blue,G-SKY 1,pawn,https://i.imgur.com/T5zshZu.png,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,core_fighter_2,,,,,,blue,G-SKY 2,pawn,https://i.imgur.com/T5zshZu.png,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,core_fighter_3,,,,,,blue,G-SKY 3,pawn,https://i.imgur.com/T5zshZu.png,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,core_fighter_4,,,,,,blue,G-SKY 4,pawn,https://i.imgur.com/T5zshZu.png,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,core_fighter_5,,,,,,blue,G-SKY 5,pawn,https://i.imgur.com/T5zshZu.png,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,core_fighter_6,,,,,,blue,G-SKY 6,pawn,https://i.imgur.com/T5zshZu.png,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,core_fighter_7,,,,,,blue,G-SKY 7,pawn,https://i.imgur.com/T5zshZu.png,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,core_fighter_8,,,,,,blue,G-SKY 8,pawn,https://i.imgur.com/T5zshZu.png,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,gundam,,,,,,blue,高達,rook,https://i.imgur.com/ma9ZzPs.png,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,gp01_gundam,,,,,,blue,高達GP01-Fb,rook,https://i.imgur.com/rX541xg.png,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,gundam_mk_ii,,,,,,blue,高達Mk-II,knight,https://i.imgur.com/i3ntMDy.png,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,hyaku_shiki,,,,,,blue,百式,knight,https://i.imgur.com/j8bn0Qb.png,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
piece_definition,zeta_gundam,,,,,,blue,Z高達,bishop,https://i.imgur.com/onLceHg.png,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,
